__ manuell	__NO unflekt	Ursprungsform in FreqLi	NO-Form
positiv	guette	guette;	guette;
positiv	guetten	guetten;	guetten;
positiv	gunst	gunst;günste;gunste;	gunst;günste;gunste;
positiv	guot	guot;guote;gut;guoten;guotes;guoter;guten;gute;gutes;guotem;guter;guotiu;gvt;gueten;gutem;gueter;guts;goit;guetem;guots;gud;gvot;gvten;goter;gude;guden;guotez;guets;gvote;gvet;guetz;gvoten;gutin;	guot;guote;guot;guoten;guotes;guoter;guoten;guote;guotes;guotem;guoter;guotiu;guot;guoten;guotem;guoter;guotes;guot;guotem;guots;guot;guot;guoten;guoter;guote;guoten;guotez;guotes;guote;guot;guotes;guoten;guoten;
positiv	gûot	gût;	gûot;
positiv	guotæte	guotæte;	guotæte;
positiv	gûote	gûte;	gûote;
positiv	gûoten	gûten;	gûoten;
positiv	gûotes	gûtes;	gûotes;
positiv	guotlich	gutlich;guotlich;guotlichen;gutlichen;guetlich;	guotliche;guotlich;guotlichen;guotlichen;guotliche;
positiv	guotlîche	guotlîche;	guotlîche;
positiv	guottât	guottât;	guottât;
positiv	guotten	guotten;	guotten;
positiv	guotter	guotter;	guotter;
positiv	gút	gút;	gút;
positiv	güte	güte;	güte;
positiv	gúten	gúten;	gúten;
positiv	güten	güten;	güten;
positiv	gütlich	gütlich;	gütlich;
positiv	gutt	gutt;	gutt;
positiv	gütt	gütt;	gütt;
positiv	gutte	gutte;	gutte;
positiv	gütte	gütte;	gütte;
positiv	gutten	gutten;	gutten;
positiv	gütten	gütten;	gütten;
positiv	gutter	gutter;	gutter;
positiv	gütter	gütter;	gütter;
positiv	gutz	gutz;	gutz;
negativ	haz	haz;has;hass;haß;hazzen;hazze;hazzes;hassen;hasse;	haz;haz;hazze;haz;hazzen;hazze;hazzes;hazzen;hazze;
negativ	hazz	haz;has;hass;haß;hazzen;hazze;hazzes;hassen;hasse;	haz;haz;hazze;haz;hazzen;hazze;hazzes;hazzen;hazze;
negativ	hâz	hâs;	hâz;
negativ	hazzen	hazzet;hazzent;	hazzet;hazzent;
negativ	heide	heiden;heide;haide;hayden;heyde;	heiden;heide;heide;heiden;heide;
negativ	heiden	haiden;heyden;heidin;	heidene;heidene;heidene;
negativ	heidenîn	heidenîn;	heidenîn;
negativ	heidenisch	heidenischen;heidenischer;heidenische;heidensche;heidenisch;	heidenischen;heidenischer;heidenische;heidenische;heidenisch;
negativ	heidensch	heidensch;heidenschen;	heidensch;heidenschen;
negativ	heidenschaft	heidenschaft;heidenshaft;haidenschaft;	heidenschaft;heidenschaft;heidenschaft;
negativ	heidenschefte	heidenschefte;	heidenschefte;
negativ	heidentuom	heidentuom;	heidentuom;
positiv	heil	heil;hail;heile;heilen;heyl;haile;	heil;heil;heile;heilen;heil;heile;
positiv	heilant	heilant;hailant;	heilant;heilant;
positiv	heilec	heilegen;heilege;	heilegen;heilege;
positiv	heilig	heilegen;heilege;	heilegen;heilege;
positiv	heilige	heilegen;heilege;	heilegen;heilege;
positiv	heilen	geheilet;heilet;heilt;	geheilet;heilet;heilt;
positiv	heiles	heiles;hailes;	heiles;heiles;
positiv	heilic	heilig;heilic;helig;hailig;heilich;	heilic;heilic;heilic;heilic;heilic;
positiv	heilichait	heilichait;	heilichait;
positiv	heilicheit	heilicheit;	heilicheit;
positiv	heilige	heiligen;heilige;heligen;hailigen;heyligen;hailige;heilgen;helige;heiligin;hailgen;heilge;	heiligen;heilige;heiligen;heiligen;heiligen;heilige;heiligen;heilige;heiligen;heiligen;heilige;
positiv	heiliger	heiliger;heliger;hailiger;	heiliger;heiliger;heiliger;
positiv	heiligære	heiliger;heliger;hailiger;	heiliger;heiliger;heiliger;
positiv	heiligez	heiligez;	heiligez;
positiv	heiligiu	heiligiu;	heiligiu;
positiv	heilikeit	heilikeit;	heilikeit;
positiv	heiltuom	heiltuom;	heiltuom;
positiv	held	held;	held;
positiv	helde	helde;	helde;
positiv	helfaere	helfaere;	helfaere;
positiv	helfe	helfe;helfen;helffen;helffe;helpen;hilffe;helpe;	helfe;helfen;helfen;helfe;helfen;helfe;helfe;
positiv	hülfe	helfe;helfen;helffen;helffe;helpen;hilffe;helpe;	helfe;helfen;helfen;helfe;helfen;helfe;helfe;
positiv	helfelich	helflich;	helfelich;
positiv	helfelîche	helflich;	helfelich;
positiv	hülfelich	helflich;	helfelich;
positiv	helfen	hilf;half;hilff;hilfet;hulfen;helfet;hilft;helfent;hilfft;hülfe;helft;hylf;helfest;	hilf;half;hilf;hilfet;hulfen;helfet;hilft;helfent;hilfet;hülfe;helft;hilf;helfest;
positiv	helfer	helfer;	helfer;
positiv	helferîche	helferîch;	helferîche;
positiv	helff	helff;	helff;
positiv	helffent	helffent;	helffent;
positiv	helikeit	helikeit;	helikeit;
negativ	helle	helle;hellen;hellem;	helle;hellen;hellem;
positiv	helt	helt;helden;heldes;helld;hellden;	helt;helden;heldes;helt;helden;
positiv	heled	helt;helden;heldes;helld;hellden;	helt;helden;heldes;helt;helden;
negativ	henken	henken;hencken;gehenket;	henken;henken;gehenket;
positiv	herleich	herleich;	herleich;
positiv	herlich	herlich;	herlich;
positiv	herelich	herlich;	herlich;
positiv	hêrlich	hêrlîchen;hêrlîch;hêrlich;	hêrlîchen;hêrlîch;hêrlich;
positiv	herliche	herliche;	herliche;
positiv	hêrlîche	hêrlîche;hêrlîcher;	hêrlîche;hêrlîcher;
positiv	herlichen	herlichen;	herlichen;
positiv	herlicher	herlicher;	herlicher;
positiv	herzeclich	herzeclicher;herzeclichen;	herzeclicher;herzeclichen;
positiv	herziglich	herzeclicher;herzeclichen;	herzeclicher;herzeclichen;
positiv	herzeclîche	herzeclîche;herzeclîcher;	herzeclîche;herzeclîcher;
positiv	herzeclîchen	herzeclîchen;	herzeclîchen;
negativ	herzeleit	herzeleit;herzeleide;herzeleides;	herzeleit;herzeleide;herzeleides;
negativ	herzenleid	herzeleit;herzeleide;herzeleides;	herzeleit;herzeleide;herzeleides;
positiv	herzeliep	herzeliebe;herzelieber;herzeliep;	herzeliebe;herzelieber;herzeliep;
positiv	herzenlieb	herzeliebe;herzelieber;herzeliep;	herzeliebe;herzelieber;herzeliep;
negativ	herzeloide	herzeloide;	herzeloide;
negativ	herzenleide	herzenleide;	herzenleide;
negativ	herzenleit	herzenleit;	herzenleit;
positiv	herzenlich	herzenlichen;herzenlicher;	herzenlichen;herzenlicher;
positiv	herzenlîche	herzenlîche;	herzenlîche;
positiv	herzenlîchen	herzenlîchen;	herzenlîchen;
positiv	herzenliebe	herzenliebe;	herzenliebe;
positiv	herzenlieben	herzenlieben;	herzenlieben;
negativ	herzensêr	herzensêr;	herzensêr;
negativ	herzensêre	herzensêre;	herzensêre;
negativ	herzenswaere	herzenswaere;	herzenswaere;
negativ	herzesêr	herzesêr;	herzesêr;
negativ	herzensêr	herzesêr;	herzesêr;
negativ	herzensêre	herzesêr;	herzesêr;
negativ	herzesêre	herzesêre;	herzesêre;
positiv	himel	himel;himele;himels;hymel;himmel;himile;hymels;himil;	himel;himele;himels;himel;himel;himele;himels;himel;
positiv	himelisch	himelischen;himelschen;himelische;himelsche;himilisken;himiliske;himelisch;	himelischen;himelischen;himelische;himelische;himelischen;himelische;himelisch;
positiv	himelriche	himelriche;himelrich;himelreich;hymelrich;himmelrich;himilriche;	himelriche;himelriche;himelriche;himelriche;himelriche;himelriche;
positiv	himelrîche	himelrîche;himelrîch;himelrîches;	himelrîche;himelrîche;himelrîches;
positiv	himlisch	himlisch;	himlisch;
positiv	himmelriche	himmelriche;	himmelriche;
positiv	himmelschen	himmelschen;	himmelschen;
positiv	hoch	hoch;	hoch;
positiv	hôch	hôch;	hôch;
positiv	hôh	hôch;	hôch;
positiv	hochgeboren	hochgeborn;	hochgeboren;
positiv	hôchgeboren	hôchgeborn;	hôchgeboren;
positiv	hochgeborene	hochgeborne;	hochgeborene;
positiv	hôchgeborene	hôchgeborne;	hôchgeborene;
positiv	hôchgeborenen	hôchgebornen;	hôchgeborenen;
positiv	hôchgelobet	hôchgelobte;	hôchgelobete;
positiv	hôhgelobet	hôchgelobte;	hôchgelobete;
positiv	hochgelobeten	hochgelobten;	hochgelobeten;
positiv	hochgemüete	hochgemüete;	hochgemüete;
positiv	hôchgemüete	hôchgemüete;	hôchgemüete;
positiv	hôhgemüete	hôchgemüete;	hôchgemüete;
positiv	hochgemuot	hochgemuot;	hochgemuot;
positiv	hôchgemuot	hôchgemuot;hôchgemuote;hôchgemuoten;hôhgemuot;	hôchgemuot;hôchgemuote;hôchgemuoten;hôchgemuot;
positiv	hôhgemuot	hôchgemuot;hôchgemuote;hôchgemuoten;hôhgemuot;	hôchgemuot;hôchgemuote;hôchgemuoten;hôchgemuot;
positiv	hochgemuoten	hochgemuoten;	hochgemuoten;
positiv	hôchgenant	hôchgenant;	hôchgenant;
positiv	hochgezit	hochgezit;	hochgezit;
positiv	hochgezite	hochgezite;	hochgezite;
positiv	hôchgezîte	hôchgezîte;	hôchgezîte;
positiv	hochste	hochste;	hochste;
positiv	höchster	höchster;	höchster;
negativ	hochvart	hoffart;hochfart;hochvart;hohfart;hohvart;	hochvart;hochvart;hochvart;hochvart;hochvart;
negativ	hôchvart	hôchvart;hôchfart;hôhvart;	hôchvart;hôchvart;hôchvart;
negativ	hôhvart	hôchvart;hôchfart;hôhvart;	hôchvart;hôchvart;hôchvart;
positiv	hochzit	hochzeit;hochzit;	hochzit;hochzit;
positiv	hôchzît	hôchzît;hôchgezît;	hôchzît;hôchgezît;
positiv	hôhgezît	hôchzît;hôchgezît;	hôchzît;hôchgezît;
positiv	hôhzît	hôchzît;hôchgezît;	hôchzît;hôchgezît;
positiv	hôchzîten	hôchzîten;	hôchzîten;
positiv	hôhzîten	hôchzîten;	hôchzîten;
positiv	hoechsten	hochsten;höchsten;	hoechsten;hoechsten;
positiv	hoehe	hoehe;hoe;	hoehe;hoehe;
positiv	hoehen	hoehen;	hoehen;
positiv	hoeher	hoher;hoeher;	hoeher;hoeher;
positiv	hoehære	hoher;hoeher;	hoeher;hoeher;
positiv	hoehet	hoehet;	hoehet;
positiv	hoehin	hoehin;	hoehin;
positiv	hoehste	hoehste;	hoehste;
positiv	hoehsten	hoehsten;	hoehsten;
positiv	hoesten	hoesten;	hoesten;
positiv	hoevesche	hübsche;	hoevesche;
positiv	hoevescheit	hübscheit;	hoevescheit;
positiv	hoeveschen	hübschen;	hoeveschen;
positiv	hoevescher	hubscher;	hoevescher;
positiv	hoevisch	hubsch;	hoevisch;
positiv	hoevischen	hubschen;	hoevischen;
positiv	höfsch	höfsche;höfsch;höfscher;	höfsche;höfsch;höfscher;
positiv	hoh	hoh;	hoh;
positiv	hôh	hôh;	hôh;
positiv	hohe	hohe;	hohe;
positiv	hôhe	hôher;hôhe;	hôher;hôhe;
positiv	höhe	höhe;	höhe;
positiv	höhe	höhe;	höhe;
positiv	hohem	hohem;	hohem;
positiv	hôhem	hôhem;	hôhem;
positiv	hohen	hohen;hoen;	hohen;hohen;
positiv	hôhen	hôhen;	hôhen;
positiv	hoher	hoeh;	hoher;
positiv	höher	höher;	höher;
positiv	hohes	hohes;	hohes;
positiv	hôhes	hôhes;	hôhes;
positiv	hoheste	hoeste;	hoheste;
positiv	hoheste	hoeste;	hoheste;
positiv	hôhesten	hôhisten;	hôhesten;
positiv	hôhesten	hôhisten;	hôhesten;
positiv	hohez	hohez;	hohez;
positiv	hôhez	hôhez;	hôhez;
positiv	hôhgemüete	hôhgemüete;	hôhgemüete;
positiv	hohgezit	hohgezit;	hohgezit;
positiv	hôhgezît	hôhgezît;	hôhgezît;
positiv	hôhgezîte	hôhgezîte;	hôhgezîte;
positiv	hôhste	hôhste;	hôhste;
positiv	hohsten	hohsten;	hohsten;
positiv	hôhsten	hôhsten;	hôhsten;
positiv	höhsten	höhsten;	höhsten;
positiv	hohzit	hohzit;	hohzit;
positiv	hôhzît	hôhzît;	hôhzît;
positiv	holdez	holdez;	holdez;
positiv	holt	holt;hold;holte;	holt;holt;holte;
positiv	hold	holt;hold;holte;	holt;holt;holte;
positiv	hübesch	hübesch;	hübesch;
positiv	hübesche	hübesche;	hübesche;
positiv	hübische	hübesche;	hübesche;
positiv	hübsch	hübsch;	hübsch;
positiv	hubscheit	hubscheit;	hubscheit;
positiv	hübscher	hübscher;	hübscher;
positiv	hueeten	huten;huoten;hueten;hüten;	hueeten;hueeten;hueeten;hueeten;
positiv	hüet	hüet;	hüet;
positiv	hüeten	hüetet;hüetent;	hüetet;hüetent;
positiv	huetet	hut;hutt;	huetet;huetet;
positiv	hûetet	hût;	hûetet;
positiv	huetten	hutten;	huetten;
positiv	hulde	hulde;hulden;holden;huld;holde;holdes;	hulde;hulden;holden;hulde;holde;holdes;
negativ	hunger	hunger;hungers;	hunger;hungers;
negativ	hungern	hungert;	hungert;
negativ	hungeren	hungert;	hungert;
positiv	hýmel	hýmel;	hýmel;
positiv	hymmel	hymmel;	hymmel;
positiv	innicheit	innekeit;	innicheit;
positiv	innicliche	innecliche;	innicliche;
positiv	inniclîche	inneclîche;	inniclîche;
positiv	inniclichen	inneclichen;innechlichen;	inniclichen;inniclichen;
positiv	inniclîchen	inneclîchen;	inniclîchen;
negativ	jæmerlich	jæmerlîch;jæmerlich;jæmerlichen;	jæmerlîch;jæmerlich;jæmerlichen;
negativ	jaemerlich	jaemerlich;	jaemerlich;
negativ	jaemerlîch	jaemerlîch;	jaemerlîch;
negativ	jaemerliche	jaemerliche;	jaemerliche;
negativ	jaemerlîche	jaemerlîche;	jaemerlîche;
negativ	jaemerlichen	jaemerlichen;	jaemerlichen;
negativ	jaemerlîchen	jaemerlîchen;	jaemerlîchen;
negativ	jæmerlîchen	jæmerlîchen;	jæmerlîchen;
negativ	jaemerlîcher	jaemerlîcher;	jaemerlîcher;
negativ	jamer	jamer;iamer;jomer;	jamer;jamer;jamer;
negativ	jâmer	jâmer;jâmers;	jâmer;jâmers;
negativ	jâmerlich	jâmerlîchen;jâmerlîch;	jâmerlîchen;jâmerlîch;
negativ	jamerliche	jemerlich;jemerliche;iemerlich;iemerliche;	jamerliche;jamerliche;jamerliche;jamerliche;
negativ	jâmerlîche	jâmerlîche;	jâmerlîche;
negativ	jamerlichen	iemerlichen;	jamerlichen;
negativ	jâmern	jâmert;	jâmert;
negativ	jâmeren	jâmert;	jâmert;
negativ	jamers	jamers;iamers;	jamers;jamers;
negativ	jemerlichen	jemerlichen;	jemerlichen;
positiv	jesu	jhesu;jesu;ihesu;	jesu;jesu;jesu;
positiv	jêsu	jêsu;	jêsu;
positiv	jesum	ihm;jesum;jhesum;ihesum;	jesum;jesum;jesum;jesum;
positiv	jêsum	jêsum;	jêsum;
positiv	jesus	jesus;jhesus;ihesus;iesus;	jesus;jesus;jesus;jesus;
positiv	jugend	jugend;	jugend;
positiv	jugende	jugende;	jugende;
positiv	jugent	jugent;iugent;	jugent;jugent;
positiv	jugend	jugent;iugent;	jugent;jugent;
negativ	kalt	kalt;kalter;chalt;	kalt;kalter;kalt;
negativ	kalte	kalten;kalte;kalde;	kalten;kalte;kalte;
negativ	karc	karc;	karc;
negativ	karg	karc;	karc;
positiv	kirche	kirchen;kirche;	kirchen;kirche;
positiv	kireche	kirchen;kirche;	kirchen;kirche;
positiv	kiusche	kiusche;kiuschen;kuesche;kiuscher;keusch;kuesch;kusche;kueschen;keusche;	kiusche;kiuschen;kiusche;kiuscher;kiusche;kiusche;kiusche;kiuschen;kiusche;
negativ	klaffen	klaffen;claffen;	klaffen;klaffen;
negativ	klag	klag;	klag;
negativ	klage	klagen;klage;clage;chlagen;chlage;chlag;	klagen;klage;klage;klagen;klage;klage;
negativ	klagelich	klegelich;	klageliche;
negativ	klagen	gekleit;klaget;klagt;clagt;klagte;geklaget;klagten;klagende;gecleit;gechleit;klagent;geklagt;chlaget;chlagt;klagender;geclagt;klagenden;clagent;	gekleit;klaget;klagt;klaget;klagte;geklaget;klagten;klagende;gekleit;gekleit;klagent;geklagt;klaget;klaget;klagender;geklaget;klagenden;klagent;
negativ	klagente	clagende;	klagente;
negativ	klagenten	clagenden;	klagenten;
negativ	klagenter	clagender;	klagenter;
negativ	klagete	klagete;clagte;	klagete;klagete;
negativ	klageten	clagten;klageten;clageten;chlagten;	klageten;klageten;klageten;klageten;
positiv	klar	chlar;	klar;
positiv	klâre	klâre;	klâre;
positiv	kleinôt	kleinôt;cleinôt;	kleinôt;kleinôte;
positiv	kostelich	kostlicher;	kostelicher;
positiv	kostlich	kostlich;	kostlich;
positiv	köstlich	köstlich;	köstlich;
positiv	kostlichen	kostlichen;	kostlichen;
positiv	kraft	kraft;craft;krefte;kreften;chraft;krafft;crefte;creften;chrefte;chreften;	kraft;kraft;krefte;kreften;kraft;kraft;krefte;kreften;krefte;kreften;
negativ	kranc	kranc;krank;krang;chranch;cranc;chranc;	kranc;kranc;kranc;kranc;kranc;kranc;
negativ	krang	kranc;krank;krang;chranch;cranc;chranc;	kranc;kranc;kranc;kranc;kranc;kranc;
negativ	krank	kranc;krank;krang;chranch;cranc;chranc;	kranc;kranc;kranc;kranc;kranc;kranc;
negativ	krancheit	krancheit;	krancheit;
negativ	krankheit	krancheit;	krancheit;
negativ	kranckheit	kranckheit;	kranckheit;
negativ	kranckheyt	kranckheyt;	kranckheyt;
negativ	krancz	krancz;	krancz;
negativ	krank	kranck;	krank;
negativ	kranke	kranken;kranke;krancken;	kranken;kranke;kranken;
negativ	kranker	kranker;krancker;	kranker;kranker;
negativ	krankez	krankez;	krankez;
negativ	krankheit	krankheit;	krankheit;
positiv	kreftic	kreftic;kreftig;	kreftic;kreftic;
positiv	kreftig	kreftic;kreftig;	kreftic;kreftic;
positiv	kreftige	kreftic;kreftig;	kreftic;kreftic;
positiv	kreftigen	kreftigen;kreftige;	kreftigen;kreftige;
positiv	kreftiger	kreftiger;	kreftiger;
positiv	kreftigære	kreftiger;	kreftiger;
positiv	kreftigez	kreftigez;	kreftigez;
negativ	krenken	krenket;gekrenket;	krenket;gekrenket;
negativ	krenker	krenker;	krenker;
negativ	kriec	krieg;kriec;kriegen;krieges;chrieg;kriege;kriegs;	kriec;kriec;kriegen;krieges;kriege;kriege;kriegs;
negativ	krieg	krieg;kriec;kriegen;krieges;chrieg;kriege;kriegs;	kriec;kriec;kriegen;krieges;kriege;kriege;kriegs;
positiv	krist	kristen;krist;crist;christ;christes;kristes;cristes;christe;kriste;cristin;criste;krists;	kristen;krist;krist;krist;kristes;kristes;kristes;kriste;kriste;kristen;kriste;krists;
positiv	kristen	cristen;christen;cristan;	kristene;kristene;kristene;
positiv	kristenheit	kristenheit;christenhait;cristenheit;christenheit;cristenhait;kristenheite;cristinheit;	kristenheit;kristenheit;kristenheit;kristenheit;kristenheit;kristenheite;kristenheit;
positiv	kristenlich	kristenlichen;kristenlicher;kristenliche;cristenlichen;	kristenlichen;kristenlicher;kristenliche;kristenlichen;
positiv	kristenlîche	kristenlîche;kristenlîcher;	kristenlîche;kristenlîcher;
positiv	kristenman	kristenman;	kristenman;
positiv	kristenmann	kristenman;	kristenman;
positiv	kristentum	kristentum;	kristentum;
positiv	kristi	kristi;	kristi;
positiv	kristus	kristus;	kristus;
positiv	kronen	cronen;kronen;kroenen;	kronen;kronen;kronen;
negativ	krump	krump;krumbe;krumb;krumben;	krump;krumbe;krump;krumben;
negativ	krumb	krump;krumbe;krumb;krumben;	krump;krumbe;krump;krumben;
positiv	kueene	chvene;kune;chuene;chuen;kuone;kone;chuone;chvne;	kueene;kueene;kueene;kueene;kueene;kueene;kueene;kueene;
positiv	kûeene	kûne;	kûeene;
positiv	kueenen	chvenen;chuenen;kuenen;	kueenen;kueenen;kueenen;
positiv	küen	küen;	küen;
positiv	kuene	kuene;	kuene;
positiv	küene	küene;küenen;küener;	küene;küenen;küener;
positiv	kuenste	kunste;	kuenste;
negativ	kumber	kumber;kumbers;kumer;kummers;chumber;	kumber;kumbers;kumber;kumbers;kumber;
negativ	kummer	kummer;	kummer;
positiv	kuonheit	kunheit;kuonheit;	kuonheit;kuonheit;
positiv	kus	kus;kusse;kusses;	kus;kusse;kusses;
positiv	kuss	kus;kusse;kusses;	kus;kusse;kusses;
positiv	küssen	küssen;geküsset;küsset;	küssen;geküsset;küsset;
positiv	küsse	küssen;geküsset;küsset;	küssen;geküsset;küsset;
positiv	lache	lache;	lache;
positiv	lachen	lachen;lachet;lacht;lachte;lachende;lachent;lachten;gelachet;lachendem;	lachen;lachet;lachet;lachte;lachende;lachent;lachten;gelachet;lachendem;
positiv	lachete	lachete;	lachete;
negativ	laere	ler;laere;lêr;	laere;laere;laere;
negativ	lære	lære;	lære;
negativ	laster	laster;lasters;	laster;lasters;
negativ	lasterlich	lesterlich;lasterlichen;lesterlichen;	lasterliche;lasterlichen;lasterlichen;
negativ	lasterlîche	lasterlîche;	lasterlîche;
negativ	lasterlîchen	lasterlîchen;	lasterlîchen;
negativ	leide	leide;leider;leides;leiden;leid;laider;laide;laides;laiden;leyde;leyder;leyden;layd;leydes;leyd;	leide;leider;leides;leiden;leider;leider;leide;leides;leiden;leide;leider;leiden;leider;leides;leider;
negativ	leideme	layde;	leideme;
negativ	leiden	leidet;	leidet;
negativ	leidez	leidez;	leidez;
negativ	leidic	leidic;leidig;	leidic;leidic;
negativ	leidige	leidige;	leidige;
negativ	leidigen	leidigen;	leidigen;
negativ	leidiu	leidiu;	leidiu;
negativ	leit	leit;laid;lait;leyt;læit;läid;latt;	leit;leit;leit;leit;leit;leit;leit;
negativ	leid	leit;laid;lait;leyt;læit;läid;latt;	leit;leit;leit;leit;leit;leit;leit;
positiv	lere	lere;	lere;
positiv	lêre	lêre;	lêre;
positiv	leren	leren;	leren;
positiv	lêren	lêrte;lêren;lêrt;lêret;gelêret;gelêrt;lêrten;gelêrte;	lêrte;lêren;lêrt;lêret;gelêret;gelêrt;lêrten;gelêrte;
positiv	leret	leret;	leret;
positiv	lern	lern;	lern;
positiv	lerne	lernen;lerne;	lernen;lerne;
positiv	lernen	gelernet;lernet;lernt;gelernt;lernent;	gelernet;lernet;lernt;gelernt;lernent;
positiv	lirnen	gelernet;lernet;lernt;gelernt;lernent;	gelernet;lernet;lernt;gelernt;lernent;
positiv	lernte	lernte;	lernte;
negativ	liden	lidet;lident;	lidet;lident;
negativ	lîden	lîdet;lîdent;	lîdet;lîdent;
positiv	liebe	lieber;liebe;lieben;liebi;liber;liebest;liebst;lieue;l;lieve;lieuer;	lieber;liebe;liebe;liebe;lieber;liebest;liebest;liebe;liebe;liebe;lieber;
positiv	lieben	geloben;liebet;liebt;globen;geliebet;liebte;	geloben;liebet;liebet;geloben;geliebet;liebte;
positiv	liebern	liebern;	liebern;
positiv	liebers	liebers;	liebers;
positiv	liebesten	liebesten;	liebesten;
positiv	liebeu	liebeu;	liebeu;
positiv	liebste	liebste;	liebste;
positiv	liebsten	liebsten;	liebsten;
positiv	liebster	liebster;	liebster;
positiv	liebú	liebú;	liebú;
positiv	lieht	lieht;liehten;liecht;licht;liechten;liehtes;liehtem;liehtiu;liehtez;liechtes;	lieht;liehten;lieht;lieht;liehten;liehtes;liehtem;liehtiu;liehtez;liehtes;
positiv	liehte	liehte;liehter;liechte;liechter;lichter;	liehte;liehter;liehte;liehter;liehter;
positiv	liehtgevar	liehtgevar;	liehtgevar;
positiv	liehtgevarw	liehtgevar;	liehtgevar;
positiv	liep	lieb;liep;lib;liebes;liebiu;libes;liebez;liebem;liben;liebin;liebiv;liebs;libev;lieuen;	liep;liep;liep;liebes;liebiu;liebes;liebez;liebem;lieben;lieben;liebiu;liebez;liebiu;lieben;
positiv	lieb	lieb;liep;lib;liebes;liebiu;libes;liebez;liebem;liben;liebin;liebiv;liebs;libev;lieuen;	liep;liep;liep;liebes;liebiu;liebes;liebez;liebem;lieben;lieben;liebiu;liebez;liebiu;lieben;
positiv	liepleich	liepleich;	liepleich;
positiv	lieplich	lieplich;lieplîch;lieblich;lieplîche;lieplichen;lieblîch;liplich;	lieplich;lieplîch;liepliche;lieplîche;lieplichen;lieplîche;lieplich;
positiv	lieblich	lieplich;lieplîch;lieblich;lieplîche;lieplichen;lieblîch;liplich;	lieplich;lieplîch;liepliche;lieplîche;lieplichen;lieplîche;lieplich;
positiv	lieplîchen	lieplîchen;	lieplîchen;
positiv	liuhten	lûhte;liuhtet;	lûhte;liuhtet;
positiv	lob	lob;	lob;
positiv	lobebaere	lobebaere;	lobebaere;
positiv	lobelich	lobelich;lobelîch;loblich;lobelîchen;lobelichen;lobeliche;loblichen;	lobelich;lobelîch;lobeliche;lobelîchen;lobelichen;lobeliche;lobelichen;
positiv	lobelîche	lobelîche;lobelîcher;	lobelîche;lobelîcher;
positiv	loben	gelobet;gelobt;lobt;lobten;lobet;lobte;gelobten;gelobte;lobent;gelobete;lobene;gelopt;lobende;gelobter;gelobeten;	gelobet;gelobt;lobt;lobten;lobet;lobte;gelobten;gelobte;lobent;gelobete;lobene;gelobet;lobende;gelobter;gelobeten;
positiv	lobesam	lobesam;lobesan;lobsam;lobesamen;	lobesam;lobesam;lobesam;lobesamen;
positiv	lobete	lobete;lopt;	lobete;lobete;
positiv	lobeten	lobeten;lopten;	lobeten;lobeten;
positiv	loesen	loesen;	loesen;
positiv	loeset	loeset;	loeset;
positiv	lôn	lône;lônen;lônes;	lône;lônen;lônes;
positiv	lone	lone;	lone;
positiv	lonen	lonen;	lonen;
positiv	lônen	gelônet;lônet;lônte;	gelônet;lônet;lônte;
positiv	lones	lones;	lones;
positiv	lonet	lonet;	lonet;
positiv	lonete	lond;	lonete;
positiv	lont	lont;	lont;
positiv	lop	lop;lobe;loben;lobes;lobs;lof;	lop;lobe;loben;lobes;lobs;lop;
positiv	lob	lop;lobe;loben;lobes;lobs;lof;	lop;lobe;loben;lobes;lobs;lop;
positiv	lopte	lopte;	lopte;
negativ	lougen	lougen;laugen;logen;	lougen;lougenen;lougen;
negativ	lucifer	lucifer;	lucifer;
positiv	luhte	luthe;luchte;luhte;	luhte;luhte;luhte;
positiv	lust	lust;luste;	lust;luste;
positiv	lustsam	lussam;lossam;lustsam;	lustsam;lustsam;lustsam;
positiv	luter	luter;laut;lauter;lutter;lautt;luder;	luter;luter;luter;luter;luter;luter;
positiv	manhaft	manhaft;	manhaft;
positiv	mannhaft	manhaft;	manhaft;
positiv	manhaitt	manhaitt;	manhaitt;
positiv	manheit	manheit;manhait;manheite;	manheit;manheit;manheite;
positiv	mannheit	manheit;manhait;manheite;	manheit;manheit;manheite;
positiv	manlich	manlich;manlichen;manlicher;menlichen;manliche;maenlich;menlicher;manlichem;	manlich;manlichen;manlicher;manlichen;manliche;manlichen;manlicher;manlichem;
positiv	mannlich	manlich;manlichen;manlicher;menlichen;manliche;maenlich;menlicher;manlichem;	manlich;manlichen;manlicher;manlichen;manliche;manlichen;manlicher;manlichem;
positiv	manlîch	manlîch;	manlîch;
positiv	manbriev	manlîch;	manlîch;
positiv	mänlich	mänlich;	mänlich;
positiv	manlîche	manlîcher;manlîche;	manlîcher;manlîche;
positiv	mannlîche	manlîcher;manlîche;	manlîcher;manlîche;
positiv	manlîchen	manlîchen;	manlîchen;
positiv	mannegelich	menglich;iederman;	mannegelich;mannegelich;
positiv	mannelich	mallich;	mannelich;
positiv	mannheit	mannheit;	mannheit;
positiv	maria	maria;	maria;
positiv	marîa	marîa;	marîa;
positiv	marîâ	marîâ;	marîâ;
positiv	mariam	mariam;	mariam;
positiv	marien	marien;	marien;
negativ	martel	martel;	martel;
negativ	marter	marter;martir;	marter;marter;
negativ	martere	marter;martir;	marter;marter;
negativ	marteraer	marterer;	marteraer;
negativ	marterære	marterære;	marterære;
negativ	martelære	marterære;	marterære;
negativ	marteraere	marteraere;	marteraere;
negativ	martern	gemartert;	gemartert;
